                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0416,                 2.1309,                 1.2719,                 0.0128,                0.90444,                0.60306,                0.40247,                 1.1423,                 2.6225,                 1.2211,             0.00065278,             0.00065278,             0.00065278
                      2,                 1.0432,                 1.2124,                 1.2486,                 0.8527,                0.51368,                0.64192,                0.44581,                 1.1708,                 2.0756,                 1.2273,              0.0012933,              0.0012933,              0.0012933
                      3,                 1.0078,                 1.0808,                 1.2287,                0.70653,                0.66894,                0.70348,                0.45628,                 1.2883,                 1.5235,                 1.3583,              0.0019075,              0.0019075,              0.0019075
                      4,                 1.0232,                0.99469,                 1.2319,                0.72899,                0.68259,                 0.7668,                0.48248,                 1.2497,                 1.2262,                 1.3378,              0.0018812,              0.0018812,              0.0018812
                      5,                0.99543,                0.94257,                  1.207,                0.79302,                0.68259,                0.79164,                0.53924,                 1.1939,                 1.1287,                 1.2715,              0.0018416,              0.0018416,              0.0018416
                      6,                0.98239,                0.89418,                 1.1973,                0.75052,                0.79181,                0.83355,                0.59696,                  1.108,                 1.0015,                 1.1907,               0.001802,               0.001802,               0.001802
                      7,                0.93953,                0.83927,                 1.1813,                0.80271,                0.83315,                0.87904,                0.59585,                 1.1889,                0.86997,                 1.2298,              0.0017624,              0.0017624,              0.0017624
                      8,                0.91161,                0.79918,                 1.1663,                0.80094,                0.78273,                0.87535,                0.62107,                 1.1035,                0.83925,                 1.2045,              0.0017228,              0.0017228,              0.0017228
                      9,                0.90007,                0.77099,                 1.1532,                0.85084,                0.79181,                0.88386,                 0.6165,                 1.0926,                0.79815,                  1.184,              0.0016832,              0.0016832,              0.0016832
                     10,                0.89893,                0.73485,                 1.1588,                0.87631,                0.80546,                0.88539,                0.62004,                 1.1274,                0.86638,                 1.1951,              0.0016436,              0.0016436,              0.0016436
                     11,                0.88843,                0.71876,                 1.1552,                0.84711,                  0.843,                0.89889,                0.62821,                 1.1517,                 0.7433,                 1.2194,               0.001604,               0.001604,               0.001604
                     12,                0.86484,                 0.7029,                 1.1449,                0.86787,                0.85183,                0.90919,                0.61073,                 1.1071,                0.76098,                 1.1748,              0.0015644,              0.0015644,              0.0015644
                     13,                0.87824,                0.68255,                 1.1392,                0.83607,                0.85296,                0.89827,                0.63381,                   1.09,                 0.7416,                 1.1862,              0.0015248,              0.0015248,              0.0015248
                     14,                0.84814,                0.65552,                 1.1351,                0.89077,                0.79863,                0.89924,                0.63845,                 1.0881,                0.78252,                 1.1999,              0.0014852,              0.0014852,              0.0014852
                     15,                0.85731,                0.66048,                 1.1355,                0.86217,                0.85395,                0.91635,                 0.6464,                 1.0496,                0.65468,                 1.1436,              0.0014456,              0.0014456,              0.0014456
                     16,                0.82975,                 0.6394,                 1.1079,                0.83351,                0.86689,                0.89158,                  0.651,                 1.0577,                0.66416,                  1.164,               0.001406,               0.001406,               0.001406
                     17,                0.83749,                0.64352,                 1.1212,                0.82556,                0.85666,                 0.8934,                0.62409,                 1.1498,                0.74565,                 1.2162,              0.0013664,              0.0013664,              0.0013664
                     18,                0.84527,                0.63755,                 1.1116,                0.84229,                0.80204,                0.88598,                0.65864,                 1.0528,                 0.7282,                 1.1764,              0.0013268,              0.0013268,              0.0013268
                     19,                0.83666,                0.62244,                 1.1228,                0.86095,                0.85666,                0.91175,                0.66314,                 1.0578,                0.64954,                 1.1367,              0.0012872,              0.0012872,              0.0012872
                     20,                0.82029,                0.60178,                 1.1094,                0.81924,                0.83618,                0.88618,                0.65544,                 1.0534,                0.73401,                 1.1355,              0.0012476,              0.0012476,              0.0012476
